Topic,Description,Learning Outcome,Activity,Project
Chapter 5: HTML Forms Tables and Media,,,,
"HTML Tables: Structure, Headers, and Spanning","Cover the full table structure: table as the wrapper, thead for the header group, tbody for the data rows, tfoot for summary rows. Cover tr (table row), th (header cell, bold and centred by default, semantic), td (data cell). Cover colspan to span a cell across multiple columns and rowspan to span across multiple rows. Cover the caption element for an accessible table title. Emphasise the critical rule: tables are for tabular data only, never for page layout. Show a real-world example such as a timetable or a feature comparison table.","Student can build a well-structured HTML table with correct semantic grouping, header cells, caption, and spanning cells.","Course Schedule Table: build a 5-column by 6-row weekly timetable with a caption, a thead row with day labels, tbody with time slots, and at least two colspan cells representing double-period classes.","Model Comparison Table: add a settings or info section to the chatbot page with a table comparing the available AI models. Columns: Model Name, Speed, Response Quality, Best For. Rows: GPT-3.5 Turbo, GPT-4, GPT-4o. Include a caption and use colspan to add a footer row spanning all columns with a note like Pricing varies by usage. This gives the chatbot a real feature-selection reference and uses tables for genuinely tabular data."
HTML Forms and User Input,"Introduce the form element with its two critical attributes: action (the URL where form data is sent) and method (GET or POST, explicitly connecting back to the HTTP module covered earlier). Cover the basic form building blocks: input (briefly, detailed next topic), label and why it must always pair with an input (accessibility: clicking the label focuses the input, screen readers associate them). Cover textarea for multi-line text, select and option for dropdowns, fieldset and legend for grouping related inputs. Cover the button element and distinguish it from input type='submit': button is more flexible, can contain HTML, and is preferred in modern HTML.","Student can build a complete, labelled, and grouped HTML form with correct action, method, labels, a textarea, a dropdown, and a button.","Student Registration Form: build a registration form with at least 6 labelled fields, 2 fieldsets grouping related sections, a textarea for additional notes, a select dropdown for course selection, and a submit button with a clear label.","Chat Input Form: build the core chat input form. Wrap the message input and send button in a form element with method='POST' and action='#'. Add a label for the input (can be visually descriptive for screen readers). Add a textarea for the message. Add a select dropdown to choose the AI model (GPT-3.5 Turbo, GPT-4, GPT-4o). Wrap the model selector and any other settings in a fieldset with a legend. Add a proper button element for sending. This form is what JavaScript will intercept and use to trigger the API call in the JS module."
Input Types and Validation Attributes,"Go through all major input types students will use regularly: text, email, password, number, date, time, checkbox, radio, file, range, color, search, tel. For each type, show how the browser renders it differently and what built-in behaviour it provides (email validates format, number shows a spinner, date shows a date picker). Cover key input attributes: placeholder, required, disabled, readonly, min, max, step, pattern, maxlength, autofocus, name (critical for form submission). Explain client-side validation: the browser checks required and type constraints before submitting, but always note that server-side validation is still necessary.","Student can choose the correct input type for any given form field and apply the appropriate validation attributes to enforce basic constraints.","Survey Form: build a survey with at least 8 different input types, placeholder text on text fields, required on at least 3 fields, a range input with min and max, and a radio group for a single-choice question. Test built-in validation by submitting with empty required fields.","Chatbot Settings Panel: build a settings panel section for the chatbot with the following inputs, all properly labelled: a text input for a custom bot name with maxlength and placeholder, a range input for response creativity with min=1 max=10 and a visible value label, radio buttons for response style (Concise, Balanced, Detailed), a checkbox for Remember conversation history and one for Dark mode, a color input for bubble colour, a number input for max response length, and a search input for searching chat history. Add required and autofocus to the message input in the chat form. This settings panel will be styled in CSS and wired to the API in JS."
"Embedding Media: video, audio, and iframe","Cover the video element with src, controls, autoplay, muted, loop, poster, and width. Cover the audio element with controls, src, autoplay, loop. Introduce the source element as a child of video or audio to provide multiple file formats as fallback (browser picks the first format it supports). Cover iframe for embedding external content: YouTube videos, Google Maps, other web pages. Cover key iframe attributes: src, width, height, title (required for accessibility), loading='lazy' (performance), and sandbox (security). Briefly explain why iframes can be a security risk if the src is untrusted.","Student can embed a video, audio clip, and an external iframe into an HTML page using correct attributes and with accessibility and performance in mind.","Media Page: create a page that embeds a YouTube video via iframe with a title attribute, an HTML5 audio clip with controls, and an HTML5 video with a poster image, controls, and two source fallbacks. Verify all three render and function correctly in the browser.","Chatbot Info Section: add an About or How It Works section to the chatbot page. Embed a YouTube iframe explaining how large language models work. Use loading='lazy' and a meaningful title attribute. Add an audio element with controls for a subtle notification sound that will be triggered by JavaScript when the bot replies. Add the source element with two format fallbacks. This media section completes the full feature set of the chatbot HTML."
Chapter 5 Capstone,,,,
"Chapter 5 Capstone: AI Chatbot, Forms and Data Complete","Integrate all Chapter 5 additions into the chatbot: the model comparison table, the fully structured chat input form with model selector, the complete settings panel with all 8 input types, and the info section with the iframe and audio element. The chatbot HTML now represents a fully featured single-page application structure with tabular data, a functional form, rich input controls, and embedded media.",Student has a complete and valid HTML chatbot page demonstrating mastery of tables, forms, all major input types, and media embedding in a coherent real-world application structure.,End-to-End Form Test: try submitting the chat form with an empty message and verify required validation triggers. Try all settings panel inputs and confirm each renders the correct native control. Validate the full chatbot HTML with W3C Validator and resolve any new errors introduced in this chapter.,"Chatbot Milestone 2: the chatbot HTML is now fully structured with all features in place. It has a header, navigation, a chat message list with bubble structure, a model comparison table, a complete chat form, a rich settings panel, an info section with iframe and audio, and a footer. This is the complete HTML handed into the CSS module where the visual design takes over."
Chapter 6: Semantic HTML and Document Structure,,,,
The Importance of Semantic HTML,"Define semantics in the context of HTML: elements that communicate meaning and purpose to the browser, assistive technologies, and search engines, beyond just their visual appearance. Contrast semantic elements (article, nav, header) with non-semantic containers (div, span). Use the filing cabinet analogy: a labelled drawer (semantic) vs an unlabelled pile of folders (div soup). Show a before-and-after: the same page built with only divs vs the same page built with semantic elements. The structure is identical visually but radically different in meaning.","Student can explain what semantic HTML means and articulate at least three reasons why it matters: accessibility, SEO, and code maintainability.","Semantic Audit: take a provided div-heavy HTML page and identify every place where a semantic element would be more appropriate. List each div, propose the correct semantic replacement, and write one sentence explaining the reason.","Chatbot Pre-Refactor Audit: review the chatbot HTML and add a comment next to every div annotating which semantic element should replace it. The chat header div becomes header. The navigation links div becomes nav. The main chat area div becomes main. Each message li will wrap its content in article. The settings panel div becomes aside. The footer div becomes footer. Document every planned replacement before touching any code."
"Structural Elements: header, nav, main, section, article, aside, and footer","Cover each structural semantic element in detail: header (site-wide or section-level header, can appear multiple times in a page), nav (a block of navigation links), main (the primary content, one per page), section (thematic grouping that should have a heading), article (self-contained content that makes sense independently, not only for blog posts), aside (tangentially related content: sidebars, pull quotes, related links), footer (closing content: copyright, contact, secondary links). Show a full portfolio-style page layout built entirely with these elements. Clarify common confusions: header is not the same as head. article does not require a byline. main does not replace body.","Student can build a fully semantic HTML page layout using the correct structural element for each region, and can explain the correct use case for each of the seven elements.","Semantic Layout Build: given a wireframe of a blog page with a site header, navigation, main article, a related posts sidebar, and a footer, students build the HTML structure using only semantic elements. No div allowed unless there is no semantic alternative.","Chatbot Semantic Refactor: replace every structural div in the chatbot with the correct semantic element. The chatbot actually maps perfectly to all seven elements: header for the bot header, nav for the navigation links, main for the chat message area, article inside each message li for the self-contained message content, aside for the settings panel (it is tangentially related to the main chat and is a perfect aside use case), section for the model comparison and info blocks each with a heading, and footer for the credits and links. This is the cleanest version of the chatbot HTML."
"Semantics, Accessibility, and SEO","Connect semantic HTML to its three main real-world beneficiaries. Accessibility: screen readers use semantic elements to announce page regions and navigate by landmark. Introduce the concept of ARIA (Accessible Rich Internet Applications) at a high level: what it is, when it is needed, and the rule of thumb: use native semantic HTML first and reach for ARIA only when HTML alone cannot express the required meaning. SEO: search engines read heading hierarchy, semantic structure, and meta tags to understand and rank content. Cover SEO-relevant meta tags in the head: meta description, meta author. Best practices checklist: one h1 per page, meaningful alt text on all images, all form inputs have associated labels, heading levels do not skip from h1 to h4.","Student understands how semantic HTML directly benefits accessibility and SEO, can add a meta description and author tag, and can perform a basic accessibility audit on their own HTML using a checklist.","Accessibility Checklist Audit: using a provided checklist (one h1 check, heading hierarchy check, all images have alt text, all inputs have labels, all links have descriptive text, no empty heading tags), audit any website in DevTools and identify at least 3 passes and 1 failure.","Chatbot Accessibility and SEO Pass: add aria-live='polite' and role='log' to the chat message list so screen readers announce new messages automatically when the bot replies. Add aria-label to the send button and the message input. Add a meta description and meta author to the head. Verify there is exactly one h1. Check all images have meaningful alt text. Confirm every input has a label. This makes the chatbot a genuinely accessible application, not just a visual one."
Chapter 6 Capstone,,,,
"Chapter 6 Capstone and HTML Module Final: AI Chatbot HTML Complete","The final deliverable of the HTML module is the fully refactored, semantic, accessible chatbot. It must use all seven structural elements correctly, have aria-live on the chat log, aria-label on interactive controls, a meta description, correct heading hierarchy, all inputs labelled, all images with alt text, and pass W3C validation. Students submit this as the HTML module capstone.","Student has produced a complete, valid, semantic, and accessible HTML document for a real-world AI chatbot application, demonstrating mastery of every HTML concept covered across the module.","Side-by-Side DevTools Review: open the original div-heavy chatbot from Chapter 4 Milestone 1 and the final semantic version side by side in a browser. They should look identical. Open both in DevTools Elements tab and compare the landmark structure. The semantic version should show header, nav, main, aside, article, section, and footer as named regions.","Chatbot Milestone 3 and HTML Module Capstone: this is the final HTML file that gets handed to the CSS module. It has a fully semantic structure, accessible ARIA attributes, SEO meta tags, a model comparison table, a rich settings panel with all input types, an embedded YouTube explanation, an audio notification element, a properly structured chat form, and a chat message list ready to be populated dynamically. In the CSS module it gets styled into a polished dark-theme chat UI. In the JS module it gets wired to the ChatGPT API using fetch. The finished product is a working AI chatbot built entirely with HTML, CSS, and JavaScript."
