Topic,Description,Learning Outcome,Activity,Project
CSS Positioning: static relative absolute fixed and sticky,"Cover all five position values and the behaviour each produces. static: the default, element remains in the normal document flow, top/right/bottom/left have no effect. relative: element stays in normal flow and its original space is preserved, but it can be visually offset using top/right/bottom/left without affecting surrounding elements. absolute: element is removed from normal flow entirely, surrounding elements behave as if it does not exist, and it positions itself relative to its nearest ancestor that has a position value other than static (the containing block). fixed: removed from normal flow, positions relative to the viewport, does not move when the page scrolls. sticky: behaves like relative until the element reaches a defined scroll threshold, then behaves like fixed until the parent container scrolls out of view. Cover the containing block concept in detail: absolute positioning climbs the ancestor chain looking for the first positioned parent. Establish the pattern: set position: relative on the parent and position: absolute on the child to create controlled layering. Show real-world uses: dropdown menus, badge overlays, fixed navigation bars, sticky section headers.","Student can apply all five position values correctly, understands the containing block concept for absolute positioning, and can build a fixed header and a sticky element using the correct approach.","Positioning Lab: build a card with an absolute-positioned badge in its top-right corner inside a relative container. Build a sticky heading that locks to the top as the page scrolls past it. Build a fixed back-to-top button in the bottom-right corner of the viewport that stays visible while scrolling.","Chatbot Fixed Header: convert the chatbot header to position: fixed so it remains at the top of the viewport when chat messages scroll. Set top: 0, left: 0, width: 100%, and z-index to keep it above scrolling content. Adjust the main content area's padding-top to prevent it from sitting hidden beneath the fixed header."
z-index and Stacking Context,"Explain that browsers paint elements in layers, not just a flat plane, and z-index controls the stacking order of those layers. Higher z-index values appear in front of lower ones. Establish the prerequisite: z-index only has an effect on positioned elements (anything with position other than static). Introduce the stacking context as the mechanism that determines which z-index values are compared against each other. Several CSS properties create a new stacking context in addition to positioned elements with z-index: opacity less than 1, any transform value, filter, isolation: isolate. Elements inside a stacking context are always rendered as a unit relative to their parent, so a child with z-index: 9999 inside a parent stacking context with z-index: 1 will always appear behind an element in a different stacking context with z-index: 2, regardless of the child's z-index value. This is the most common source of z-index bugs. Cover practical applications: modal overlays on top of all content, dropdown menus above sibling sections, tooltips above card content.","Student understands z-index, can predict stacking order in common scenarios, and knows what creates a new stacking context and why it causes the most common z-index bugs.","Stacking Puzzle: build three overlapping card elements and manipulate z-index values to achieve a specific layering order. Then wrap the top-most card in a parent with opacity: 0.99 and observe how the stacking context isolation changes the result even with a high z-index on the child.","Chatbot Layer Management: verify the fixed header stacks above the scrolling message list using z-index. Ensure any dropdown or settings overlay that appears sits above the chat content. Trace the stacking context chain if any layering issue appears during testing."
Decorative CSS: border-radius box-shadow and text-shadow,"Cover border-radius for rounding element corners: single value (all four corners), two values (top-left and bottom-right share one value, top-right and bottom-left share the other), four values (each corner individually, clockwise from top-left), and the special case of 50% or 9999px for perfect pill shapes and circles. Cover box-shadow with its full syntax: horizontal-offset vertical-offset blur-radius spread-radius color. Multiple shadows are comma-separated and painted back to front. The inset keyword moves the shadow inside the element border. Cover text-shadow with horizontal-offset, vertical-offset, blur-radius, and color. Cover the practical applications of each: card elevation with a soft box-shadow, pill-shaped action buttons, circular avatar images with border-radius: 50%, glowing accent effects with colored spread shadows.","Student can apply border-radius, box-shadow, and text-shadow to create visually refined UI components, including cards with elevation, circular avatars, and pill-shaped buttons.","Card Polish: start with a plain white rectangular card and progressively refine it: add border-radius for rounded corners, a layered box-shadow using two comma-separated shadows (one for base elevation, one for a subtle top edge highlight), and text-shadow on the card heading. Document the before and after.","Chatbot Visual Polish: apply border-radius to message bubbles using asymmetric values to create the classic chat bubble shape (full rounding except the corner adjacent to the avatar). Add a subtle box-shadow to the overall chatbot container for depth. Style the bot avatar as a circle using border-radius: 50% with object-fit: cover."
Chapter 9: Layout with Flexbox,,,,
Why Flexbox Exists and the Flex Container,"Establish the historical problem Flexbox solves: before it, building horizontal layouts and vertically centring elements required floats, negative margins, and table-display hacks that were fragile and unintuitive. Flexbox introduced a one-dimensional layout model giving precise control over a single axis at a time (row or column). Introduce the two roles: the flex container (the parent element with display: flex applied) and flex items (the direct children of that container, which become flexible). Explain the main axis (determined by flex-direction) and the cross axis (perpendicular to the main axis). Cover flex-direction: row (default, items flow left to right), row-reverse, column (items flow top to bottom), column-reverse. Cover flex-wrap: nowrap (default, all items on one line, shrink if needed), wrap (items wrap onto new lines), wrap-reverse. Note that only direct children become flex items, not deeper descendants.","Student understands why Flexbox exists, can create a flex container, set direction and wrapping, and correctly identify the main axis and cross axis for any given flex-direction value.","Pre-Flexbox vs Post-Flexbox: first attempt to vertically and horizontally centre a div inside a container using only margin and positioning. Then achieve the same result in two CSS properties using Flexbox. The contrast makes the value of Flexbox immediately tangible.","Chatbot Header Layout: apply Flexbox to the chatbot header to position the logo and bot name on the left and the navigation links on the right, all vertically centred regardless of their content height. Apply Flexbox to each message row to align the avatar image and message bubble side by side."
Alignment: justify-content align-items align-self and gap,"Cover the alignment properties that control how flex items are positioned and spaced. justify-content controls distribution along the main axis: flex-start (default), flex-end, center, space-between (equal space between items, no outer space), space-around (equal space around each item), space-evenly (equal space between and around items). align-items controls alignment of all items along the cross axis: stretch (default, items fill the container height), flex-start, flex-end, center, baseline (items align by their text baseline). align-self overrides align-items for a single flex item. Cover gap (shorthand for row-gap and column-gap) for uniform space between flex items without using margin. Explain why gap is preferred over margin for spacing flex items: margin adds space on outer edges as well, gap only adds space between items.","Student can center elements horizontally and vertically using Flexbox, distribute space between items using justify-content, and apply consistent gutters using gap instead of margin.","Alignment Grid: build a container with 6 boxes and change justify-content and align-items values systematically while observing layout changes. Add gap and compare the result to adding margin to each item, noting the difference at the edges.","Chatbot Message Layout: use align-items: flex-start on message rows so the avatar aligns to the top of tall messages. Use justify-content: flex-end on user message rows to push them to the right. Use space-between in the message header row to separate the sender name from the timestamp."
flex-grow flex-shrink flex-basis and the flex shorthand,"Cover the three properties that define how flex items distribute available space. flex-basis sets the initial size of a flex item before free space is distributed: similar to width in a row layout but axis-aware. flex-grow defines how much of the remaining free space an item claims relative to its siblings: flex-grow: 1 means it takes an equal share, flex-grow: 2 means it takes twice the share of a flex-grow: 1 sibling. flex-shrink defines how much an item shrinks relative to siblings when the container is smaller than the total item size. Cover the flex shorthand (flex: grow shrink basis) and its most-used presets: flex: 1 (shorthand for 1 1 0, equal growth and shrinkage from zero basis), flex: auto (1 1 auto, grows and shrinks from its content size), flex: none (0 0 auto, does not grow or shrink). Show the proportional layout pattern: flex: 1 on a sidebar and flex: 3 on main content creates a one-to-three width ratio that adjusts fluidly.","Student can apply flex-grow, flex-shrink, and flex-basis individually and through the flex shorthand, and can build proportional fluid layouts using flex values.","Flexible Columns: build a three-column layout where the first column has flex: 1, the second flex: 2, and the third flex: 1. Resize the browser and observe proportional adjustment. Then set the third column to flex: none with a fixed width and observe how the other two columns absorb the remaining space.","Chatbot Input Bar: apply Flexbox to the input bar. Give the message textarea flex: 1 so it fills all available horizontal space. Give the send button a fixed width and flex-shrink: 0 so it never collapses. The result is a standard chat input that expands and contracts with the window while the button stays fixed."
Chapter 10: Layout with CSS Grid,,,,
Why CSS Grid Exists and Grid Fundamentals,"Establish the distinction between Flexbox (one-dimensional: a row or a column at a time) and Grid (two-dimensional: rows and columns controlled simultaneously). Grid is the right tool when both axes need to be aligned at once, such as a card grid where items must align in both rows and columns across the full layout. Introduce the grid container (display: grid) and grid items (direct children). Cover grid-template-columns and grid-template-rows for defining track sizes using px, %, auto, and fr. Cover the fr unit (fractional unit) as Grid's native proportional unit representing a share of space remaining after fixed tracks are placed. Cover the repeat() function for repeating track definitions: repeat(3, 1fr), repeat(12, 1fr). Cover gap (row-gap and column-gap) for spacing between grid cells. Cover auto-placement: grid items fill cells in order by default without needing explicit placement.","Student can create a grid container, define columns and rows using fixed and fr units, use repeat() for concise syntax, and apply gap between grid cells.","Grid Foundation: build a 12-column grid using grid-template-columns: repeat(12, 1fr). Place colored boxes spanning different numbers of columns to see how fr distributes space. Add row-gap and column-gap and observe how gutters appear between cells.","Chatbot Page Layout: restructure the overall chatbot page using CSS Grid. Define a two-column grid for the main area with the settings aside on the left (fixed or fr-based width) and the chat interface on the right (flex: 1 equivalent via fr)."
Placing Items: grid-column grid-row and grid-template-areas,"Cover explicit item placement using grid-column and grid-row with line-based syntax (start / end) where numbers refer to grid lines. A grid with three columns has four column lines: 1, 2, 3, 4. grid-column: 1 / 3 spans from line 1 to line 3, occupying two columns. Cover the span keyword for spanning relative to the item's auto-placed position without knowing exact line numbers: grid-column: span 2. Cover grid-template-areas as a named visual alternative for layout definition: each cell in the grid is assigned a name string, cells with the same name merge into one area, and periods represent empty cells. Items are then placed by setting grid-area to the matching name. Show that grid-template-areas makes the CSS layout visually legible: the quoted strings resemble the actual page structure. Cover grid-area as both the named area assignment and as a shorthand for row-start / column-start / row-end / column-end.","Student can place grid items explicitly using line numbers and span, and can define and use named grid template areas to create readable, maintainable two-dimensional layouts.","Magazine Layout: build a 4-column 3-row grid representing a magazine page with a hero spanning all 4 columns, a sidebar spanning 2 rows, article tiles, and a footer spanning the full width. Use grid-template-areas and grid-area for placement.","Chatbot Full Page Layout: define the complete chatbot page layout using grid-template-areas: header spanning the full top row, aside on the left, main chat area on the right, footer spanning the full bottom row. Place each semantic element using grid-area."
Flexbox vs Grid: Choosing the Right Tool,"Provide a clear practical framework for deciding between Flexbox and Grid. Flexbox is for one-dimensional layouts: a row of navigation links, a horizontal set of cards that wrap, a column of form fields, aligning items along one axis. Grid is for two-dimensional layouts: a page skeleton where rows and columns both matter, a card grid where alignment must hold across both axes. Cover the hybrid approach as the professional standard: Grid for the macro layout (page structure) and Flexbox for the micro layout (inside individual components like cards and navigation bars). Cover Grid's auto-fill and auto-fit with minmax() for creating intrinsically responsive grids that reflow without media queries: grid-template-columns: repeat(auto-fit, minmax(240px, 1fr)). Cover Grid auto-placement behavior and how it differs from Flexbox wrapping.","Student can identify whether a given layout problem calls for Flexbox or Grid, understands the hybrid approach of using both at different levels, and can use auto-fit with minmax() for intrinsically responsive card grids.","Layout Classification: given 8 wireframe sketches (a navbar, a card grid, a page skeleton, a form column, a media object, a pricing table, a photo gallery, a dashboard panel), classify each as a Flexbox or Grid problem and write one sentence justifying each choice.","Chatbot Layout Audit: review the chatbot and verify the correct tool is used at each level. Page skeleton (header, aside, main, footer) uses Grid with grid-template-areas. Header internal alignment uses Flexbox. Message rows use Flexbox. Settings panel uses Grid or Flexbox as appropriate for its internal structure."
Chapter 11: Responsive Web Design,,,,
What is Responsive Design and the Mobile-First Approach,"Define responsive web design: a page that adapts its layout and visual presentation to the screen size and device of the viewer. Cover the three pillars: fluid grids, flexible images, and media queries. Introduce mobile-first development as the industry standard approach: write CSS for the smallest screen first, then layer additional complexity as the viewport grows using min-width media queries. Explain why mobile-first outperforms desktop-first: it enforces prioritisation of core content, the browser applies mobile styles by default with no condition needed, and progressive enhancement is more predictable than graceful degradation. Revisit the viewport meta tag from the HTML module and explain what happens without it: the mobile browser renders the page at 980px wide and scales it down, breaking responsive layouts entirely.","Student can explain responsive design, articulate the mobile-first approach and its advantages over desktop-first, and understand how the viewport meta tag enables correct responsive rendering on mobile devices.","Mobile vs Desktop Observation: open any major website in Chrome with DevTools. Use the Device Toolbar to switch between a 375px iPhone view and a 1440px desktop view. Document five layout changes between the two views and hypothesise which CSS property likely produces each change.","Chatbot Mobile Audit: open the chatbot in DevTools and switch to a 375px mobile simulation. Document every element that breaks, overflows, or becomes unusable at mobile width. This list becomes the work completed in the following topics."
Media Queries and Breakpoints,"Cover the syntax of a media query: @media followed by a media type (screen or print) and a condition in parentheses (min-width or max-width with a pixel value). Any CSS inside the @media block applies only when the condition is true, cascading on top of the base styles. Cover mobile-first media query ordering: base styles apply at all widths with no condition, then @media (min-width: Xpx) blocks add layout complexity for larger screens in ascending order. Cover choosing breakpoints based on content rather than specific device names: a breakpoint should be added where the content breaks, not because a particular phone model exists. Cover common reference breakpoints: 480px (large phones), 768px (tablets), 1024px (small desktop), 1280px (large desktop). Cover combining conditions with and. Introduce @media (prefers-color-scheme: dark) and @media (prefers-reduced-motion) as examples of non-width media feature queries that respond to user system preferences.","Student can write mobile-first media queries using min-width, choose breakpoints based on where content breaks, and layer responsive overrides in the correct order without conflicts.","Three-Breakpoint Layout: build a page from mobile-first that shows one column below 600px, two columns between 600px and 1024px, and three columns above 1024px using only media queries and CSS properties already covered.","Chatbot Responsive Breakpoints: add two breakpoints to the chatbot stylesheet. Below 600px: stack the layout into a single column, hide or collapse the settings aside, reduce padding and font sizes. Above 900px: show the two-column layout with the aside alongside the chat. Test at 320px, 375px, 768px, 1024px, and 1440px using DevTools."
Responsive Typography and Fluid Sizing,"Cover why fixed pixel font sizes fail across devices: a size readable on a 1440px desktop monitor is often too small on a 375px mobile screen. Cover rem-based typography as the baseline: all font sizes relative to the root, so a single root font-size change scales the entire type system proportionally. Cover using viewport units for fluid font sizes: vw-based sizes scale with the window but have no minimum or maximum, producing illegibly small or large text at extremes. Introduce clamp() as the complete solution: clamp(minimum, preferred, maximum) where the preferred value is a viewport-relative expression. The font grows with the viewport but is clamped to the minimum at small sizes and the maximum at large sizes: clamp(1rem, 2.5vw, 2rem). Cover optimal line length for readability: 60 to 75 characters per line, enforced with max-width: 65ch on text containers. Cover the ch unit (width of the zero character in the current font) as the natural unit for character-count-based widths.","Student can implement responsive typography using rem, viewport units, and clamp(), set appropriate line lengths using the ch unit, and understand why clamp() is preferred over media-query-based font scaling.","Fluid Type Scale: build a typographic scale with clamp() applied to each heading level. Resize the browser from 320px to 1440px and observe the font sizes growing continuously without a jump at any breakpoint.","Chatbot Fluid Typography: replace fixed rem font sizes with clamp() values for the bot name heading, message text, sender names, and UI labels. Add max-width: 65ch on the message bubble text so it stays readable at wide viewport widths."
Responsive Images and DevTools Testing,"Cover why images need responsive treatment: a 1400px wide image loaded on a 375px mobile device wastes significant bandwidth and slows page load. Cover max-width: 100% as the baseline rule preventing images from overflowing their container. Cover object-fit: cover (fills the container by cropping), contain (fits entirely inside without cropping, may leave empty space), fill (stretches to fill, may distort), and none (rendered at intrinsic size). Cover object-position for controlling which part of an image is visible when cropped. Cover the srcset attribute on img for serving different image resolution files to different device pixel ratios. Cover the picture element with source children for art direction: serving a different image crop on mobile vs desktop. Cover DevTools responsive testing tools: Device Toolbar with preset and custom viewport sizes, screen orientation toggle, and Network Throttling to simulate mobile connection speeds.","Student can make images responsive using max-width and object-fit, understands when to use the picture element for art direction, and can use DevTools to test layouts at any viewport size and simulate network conditions.","Image Responsiveness: add three images to a page and make them responsive using max-width: 100% and object-fit. Use the picture element to serve a square crop on mobile and a wide landscape crop on desktop for a hero image.","Chatbot Responsive Images: apply max-width: 100% to any images embedded in the chatbot. Keep the bot avatar as a circle using border-radius: 50% with object-fit: cover and fixed dimensions so it never distorts. Run a full responsive test at 320px, 375px, 768px, 1024px, and 1440px and fix any remaining layout issues."
Chapter 12: CSS in Practice,,,,
Advanced Pseudo-classes and Pseudo-elements,"Build on the basic pseudo-classes from Chapter 7. Cover structural pseudo-classes: :first-child, :last-child, :nth-child() with its formula notation (odd, even, 2n, 2n+1, 3n+2), :only-child, :not() for exclusion. Cover form-state pseudo-classes: :checked for styled checkboxes and radio buttons, :disabled, :placeholder-shown, :valid and :invalid for styled form validation states. Cover :focus-visible as the keyboard-only focus indicator (shows focus ring only for keyboard navigation, not mouse clicks). Cover pseudo-elements with the double-colon prefix: ::before and ::after create a virtual first and last child element in CSS whose content is set via the content property, allowing purely decorative elements without HTML markup. ::placeholder for styling input placeholder text. ::selection for styling text highlighted by the user. ::first-line and ::first-letter for classic typographic treatments.","Student can use structural and form-state pseudo-classes for targeted conditional styling and can create decorative content using ::before and ::after without adding extra HTML elements.","Dynamic Styling: create a zebra-striped table using :nth-child(odd) and :nth-child(even). Use ::before to insert a decorative opening quote mark on a blockquote element using the content property. Use :not() to style every button except the one with class primary.","Chatbot Message Alternation: use :nth-child(even) on the message list to apply a subtle alternate background to every other message. Use ::before on bot message bubbles to add a small CSS triangle indicator. Apply :focus-visible on the message input to show a keyboard focus ring without affecting mouse users."
Transitions and Transforms,"Cover CSS transitions: the transition shorthand and its four component values (transition-property, transition-duration, transition-timing-function, transition-delay). Timing functions: ease (starts fast, slows at end), linear, ease-in (starts slow), ease-out (ends slow), ease-in-out (slow at both ends), and cubic-bezier() for custom curves. Transitioning multiple properties using comma-separated values. The performance caution about transition: all. Cover CSS transforms: translate(x, y) for repositioning without affecting layout flow, scale(x, y) for size changes, rotate(deg) for rotation, skew(x, y) for perspective distortion. transform-origin for changing the centre point of a transform. Combining transform with transition for smooth hover animations. Establish the performance rule: always animate transform and opacity in preference to width, height, top, and left, because transform and opacity changes are handled by the GPU compositor and do not trigger layout recalculation.","Student can apply CSS transitions for smooth state changes and use CSS transforms for movement, scaling, and rotation, understanding the performance preference for transform and opacity over layout-triggering properties.","Interactive Card: build a card that lifts on hover using transition on box-shadow and transform: translateY(-4px). Add a scale transform to a button on :hover. Add a rotate transform to an icon on :active. Adjust timing functions on each to create natural-feeling motion.","Chatbot Interaction Polish: add transition to the send button for a smooth background-color and transform change on :hover. Add a subtle translateY on message bubbles on :hover. Add transition to any dropdown or settings panel that appears, animating its opacity and transform from a starting state."
CSS Custom Properties (Variables),"Cover CSS custom properties as the native CSS variable system requiring no preprocessor. Declaration syntax: properties begin with double-dash and are defined on a selector, typically :root for global scope (--color-primary: hsl(220, 80%, 55%)). Consumption syntax: the var() function with an optional fallback value (var(--color-primary, #333)). Cover scope and inheritance: custom properties follow the normal cascade and are inherited by descendants, so a property defined on :root is available everywhere, and a property redefined on a child element overrides the root value for that subtree only. Cover the practical use case for design systems: all color, spacing, typography, and shadow values defined as custom properties on :root, making a global theme change a matter of editing one block. Cover dark mode theming using @media (prefers-color-scheme: dark) combined with overriding color custom properties on :root, so the entire color system switches without touching component rules.","Student can define and consume CSS custom properties for colors, spacing, and typography, implement a custom-property-based theme system, and create a dark mode using prefers-color-scheme and variable overrides.","Theme Switcher: build a page with five components (card, button, navigation, heading, form input) styled entirely through custom properties on :root. Change the theme by modifying only the root variable block. Add a prefers-color-scheme: dark block that overrides the color variables for users with a system dark mode enabled.","Chatbot Design System: refactor the entire chatbot stylesheet so every color, font size, spacing value, border-radius, and shadow is a custom property defined on :root. Component rules reference only var() calls. Add a dark mode block using prefers-color-scheme that overrides the color custom properties. The chatbot now has a proper, maintainable design system."
